"FSC.A","sample_type","diameter","replicate"
39738.6992,"beads",10,"FC-PT79"
41076.3398,"beads",10,"FC-PT79"
39729.4688,"beads",10,"FC-PT79"
39463.9297,"beads",10,"FC-PT79"
41274.4297,"beads",10,"FC-PT79"
41344.0078,"beads",10,"FC-PT79"
40612,"beads",10,"FC-PT79"
39247.3789,"beads",10,"FC-PT79"
40285.3984,"beads",10,"FC-PT79"
39118.1602,"beads",10,"FC-PT79"
40854.8203,"beads",10,"FC-PT79"
39047.1602,"beads",10,"FC-PT79"
40920.1406,"beads",10,"FC-PT79"
39728.7578,"beads",10,"FC-PT79"
40707.1406,"beads",10,"FC-PT79"
40360.6602,"beads",10,"FC-PT79"
39304.1797,"beads",10,"FC-PT79"
39068.457,"beads",10,"FC-PT79"
37157.1406,"beads",10,"FC-PT79"
38854.0391,"beads",10,"FC-PT79"
40447.9883,"beads",10,"FC-PT79"
40926.5273,"beads",10,"FC-PT79"
41955.3203,"beads",10,"FC-PT79"
39372.3398,"beads",10,"FC-PT79"
39703.9102,"beads",10,"FC-PT79"
39767.8086,"beads",10,"FC-PT79"
40483.4883,"beads",10,"FC-PT79"
39091.8906,"beads",10,"FC-PT79"
40925.8203,"beads",10,"FC-PT79"
40802.9883,"beads",10,"FC-PT79"
42201.6875,"beads",10,"FC-PT79"
39919.75,"beads",10,"FC-PT79"
39897.0273,"beads",10,"FC-PT79"
41356.7891,"beads",10,"FC-PT79"
40103.6406,"beads",10,"FC-PT79"
41754.3906,"beads",10,"FC-PT79"
40861.207,"beads",10,"FC-PT79"
39184.8984,"beads",10,"FC-PT79"
42553.1406,"beads",10,"FC-PT79"
41656.4102,"beads",10,"FC-PT79"
36726.168,"beads",10,"FC-PT79"
40369.1797,"beads",10,"FC-PT79"
41750.1289,"beads",10,"FC-PT79"
39733.0195,"beads",10,"FC-PT79"
40025.5391,"beads",10,"FC-PT79"
39610.8984,"beads",10,"FC-PT79"
44463.0391,"beads",10,"FC-PT79"
40220.0781,"beads",10,"FC-PT79"
40083.0469,"beads",10,"FC-PT79"
40040.4492,"beads",10,"FC-PT79"
41485.2969,"beads",10,"FC-PT79"
39733.7305,"beads",10,"FC-PT79"
39709.5898,"beads",10,"FC-PT79"
39388.668,"beads",10,"FC-PT79"
41339.0391,"beads",10,"FC-PT79"
39013.7891,"beads",10,"FC-PT79"
38975.4492,"beads",10,"FC-PT79"
40242.7969,"beads",10,"FC-PT79"
40553.0703,"beads",10,"FC-PT79"
39086.918,"beads",10,"FC-PT79"
42526.8672,"beads",10,"FC-PT79"
42063.2383,"beads",10,"FC-PT79"
38271.1289,"beads",10,"FC-PT79"
40662.4102,"beads",10,"FC-PT79"
41195.6172,"beads",10,"FC-PT79"
40930.0781,"beads",10,"FC-PT79"
39216.1406,"beads",10,"FC-PT79"
39754.3203,"beads",10,"FC-PT79"
38435.8477,"beads",10,"FC-PT79"
40802.2773,"beads",10,"FC-PT79"
38677.957,"beads",10,"FC-PT79"
38606.25,"beads",10,"FC-PT79"
39354.5898,"beads",10,"FC-PT79"
40703.5898,"beads",10,"FC-PT79"
40545.2578,"beads",10,"FC-PT79"
40533.1875,"beads",10,"FC-PT79"
41620.1992,"beads",10,"FC-PT79"
38124.8672,"beads",10,"FC-PT79"
40935.7578,"beads",10,"FC-PT79"
40723.4688,"beads",10,"FC-PT79"
40310.25,"beads",10,"FC-PT79"
40077.3672,"beads",10,"FC-PT79"
38751.0898,"beads",10,"FC-PT79"
41046.5195,"beads",10,"FC-PT79"
39796.918,"beads",10,"FC-PT79"
39763.5469,"beads",10,"FC-PT79"
40371.3086,"beads",10,"FC-PT79"
38990.3594,"beads",10,"FC-PT79"
39557.6484,"beads",10,"FC-PT79"
42557.3984,"beads",10,"FC-PT79"
39414.9375,"beads",10,"FC-PT79"
39221.8203,"beads",10,"FC-PT79"
40105.7695,"beads",10,"FC-PT79"
39387.957,"beads",10,"FC-PT79"
38819.957,"beads",10,"FC-PT79"
40611.2891,"beads",10,"FC-PT79"
39737.9883,"beads",10,"FC-PT79"
39804.7305,"beads",10,"FC-PT79"
40496.2695,"beads",10,"FC-PT79"
40915.168,"beads",10,"FC-PT79"
39390.7969,"beads",10,"FC-PT79"
41532.1602,"beads",10,"FC-PT79"
41876.5078,"beads",10,"FC-PT79"
40208.7188,"beads",10,"FC-PT79"
40337.2305,"beads",10,"FC-PT79"
40727.7305,"beads",10,"FC-PT79"
41529.3203,"beads",10,"FC-PT79"
41030.1875,"beads",10,"FC-PT79"
38611.2188,"beads",10,"FC-PT79"
39179.2188,"beads",10,"FC-PT79"
40605.6094,"beads",10,"FC-PT79"
40589.2773,"beads",10,"FC-PT79"
40890.3203,"beads",10,"FC-PT79"
39641.4297,"beads",10,"FC-PT79"
39854.4297,"beads",10,"FC-PT79"
41257.3906,"beads",10,"FC-PT79"
41640.0781,"beads",10,"FC-PT79"
40590.6992,"beads",10,"FC-PT79"
38931.4297,"beads",10,"FC-PT79"
39283.5898,"beads",10,"FC-PT79"
40602.0586,"beads",10,"FC-PT79"
40716.3672,"beads",10,"FC-PT79"
41350.3984,"beads",10,"FC-PT79"
40391.1875,"beads",10,"FC-PT79"
40255.5781,"beads",10,"FC-PT79"
39203.3594,"beads",10,"FC-PT79"
40307.4102,"beads",10,"FC-PT79"
43227.6406,"beads",10,"FC-PT79"
39562.6172,"beads",10,"FC-PT79"
39037.9297,"beads",10,"FC-PT79"
39155.0781,"beads",10,"FC-PT79"
39903.418,"beads",10,"FC-PT79"
39772.0703,"beads",10,"FC-PT79"
40137.7188,"beads",10,"FC-PT79"
40412.4883,"beads",10,"FC-PT79"
40246.3477,"beads",10,"FC-PT79"
40594.957,"beads",10,"FC-PT79"
39704.6172,"beads",10,"FC-PT79"
40379.1172,"beads",10,"FC-PT79"
41119.6484,"beads",10,"FC-PT79"
39774.9102,"beads",10,"FC-PT79"
38900.1875,"beads",10,"FC-PT79"
40572.9492,"beads",10,"FC-PT79"
40751.1602,"beads",10,"FC-PT79"
40122.8086,"beads",10,"FC-PT79"
42074.5977,"beads",10,"FC-PT79"
39580.3672,"beads",10,"FC-PT79"
41382.3477,"beads",10,"FC-PT79"
40957.0586,"beads",10,"FC-PT79"
42007.1484,"beads",10,"FC-PT79"
38840.5469,"beads",10,"FC-PT79"
39957.3789,"beads",10,"FC-PT79"
38124.1602,"beads",10,"FC-PT79"
40088.7305,"beads",10,"FC-PT79"
39737.2773,"beads",10,"FC-PT79"
40822.1602,"beads",10,"FC-PT79"
39671.25,"beads",10,"FC-PT79"
39595.2773,"beads",10,"FC-PT79"
39366.6602,"beads",10,"FC-PT79"
41253.1289,"beads",10,"FC-PT79"
40370.5977,"beads",10,"FC-PT79"
40570.1094,"beads",10,"FC-PT79"
39581.0781,"beads",10,"FC-PT79"
40641.8203,"beads",10,"FC-PT79"
41609.5469,"beads",10,"FC-PT79"
38944.918,"beads",10,"FC-PT79"
41601.7383,"beads",10,"FC-PT79"
38305.918,"beads",10,"FC-PT79"
38770.2578,"beads",10,"FC-PT79"
41064.2695,"beads",10,"FC-PT79"
40279.0078,"beads",10,"FC-PT79"
39865.0781,"beads",10,"FC-PT79"
38037.5391,"beads",10,"FC-PT79"
38430.168,"beads",10,"FC-PT79"
39375.8906,"beads",10,"FC-PT79"
41125.3281,"beads",10,"FC-PT79"
41246.0273,"beads",10,"FC-PT79"
39611.6094,"beads",10,"FC-PT79"
38915.8086,"beads",10,"FC-PT79"
41112.5469,"beads",10,"FC-PT79"
40660.9883,"beads",10,"FC-PT79"
40426.6875,"beads",10,"FC-PT79"
40739.7969,"beads",10,"FC-PT79"
39889.2188,"beads",10,"FC-PT79"
41393.707,"beads",10,"FC-PT79"
40369.1797,"beads",10,"FC-PT79"
40147.6602,"beads",10,"FC-PT79"
