"cell_type","replicate","stim_type","stim_level","stim_unit","FSC.A","diameter","volume","phospho_STAT","total_STAT","receptor","whole_cell_phospho_STAT","whole_cell_total_STAT","whole_cell_receptor"
"BJ","FC-PT79","OSM",10,"ng/mL",93587.9375,16.8869216840567,601.9515,30.9781555025106,4.71561108567735,7.62906397908801,3.52526970656752,0.552150319406201,0.877993345201761
"BJ","FC-PT79","OSM",10,"ng/mL",93650.4140625,16.899332616079,603.2796,44.2700426393294,7.6084248306497,4.82392095243087,5.04898258379911,0.892835070145878,0.5563874028227
"BJ","FC-PT79","OSM",10,"ng/mL",93849.21875,16.9388250491378,607.519,32.3797374853911,4.93519231410937,5.54426990850475,3.71884845415869,0.583205743794697,0.643965640487166
"BJ","FC-PT79","OSM",10,"ng/mL",93910.984375,16.9510947538481,608.8401,23.2232064497332,4.79112330487859,5.03627510064029,2.67301086552336,0.567411904762464,0.586234211831474
"BJ","FC-PT79","OSM",0,"ng/mL",94013.2265625,16.9714051036512,611.0312,7.72505524534308,6.75653314390326,4.66677632772106,0.892360365875155,0.803054730430368,0.545178648641664
"BJ","FC-PT79","OSM",0,"ng/mL",94089.1953125,16.9864962507045,612.6627,10.2125186067246,3.94970936149623,6.43843963500205,1.18284978109705,0.470700247416262,0.754154861339973
"BJ","FC-PT79","OSM",10,"ng/mL",94322.7890625,17.0328995103602,617.6974,21.3925109598966,3.69762521094942,3.56785503165374,2.49811731166937,0.444279740249313,0.421348487574776
"BJ","FC-PT79","OSM",10,"ng/mL",94348.34375,17.0379759338496,618.2498,38.28193385909,4.4649716414964,3.54264940446339,4.47438289059959,0.536958270720203,0.418745955641855
"BJ","FC-PT79","OSM",10,"ng/mL",94490.34375,17.0661841494851,621.3257,27.5480107218496,4.03877919974013,2.0666517936145,3.2358237154841,0.488120756226549,0.245496380383329
"BJ","FC-PT79","OSM",10,"ng/mL",94503.8359375,17.0688643645161,621.6184,22.3096591293132,5.00580165412093,4.360781388348,2.62175490027769,0.605278636160994,0.51825874948137
"BJ","FC-PT79","OSM",0,"ng/mL",94628.796875,17.0936877805092,624.3345,5.95339500047994,6.28884755690192,4.59385836894887,0.702679567216032,0.763741251279748,0.548344386517591
"BJ","FC-PT79","OSM",10,"ng/mL",94851.0234375,17.1378329551214,629.1841,12.0670263245768,2.38515103116975,2.26261904917238,1.43533505530958,0.291911678568737,0.27217463201863
"BJ","FC-PT79","OSM",0,"ng/mL",94870.90625,17.1417826640118,629.6192,5.01800529036772,6.92894036742885,5.36799932546293,0.597288799135653,0.84859923049528,0.646173111058016
"BJ","FC-PT79","OSM",10,"ng/mL",94888.65625,17.1453086909663,630.0078,23.9164948054813,5.06265751301358,2.63062785672654,2.84851656153859,0.620415046120278,0.316857365720223
"BJ","FC-PT79","OSM",0,"ng/mL",94892.2109375,17.1460148275263,630.0857,5.26851847536173,9.88433053251142,8.95912132534454,0.627571804126934,1.2114478675695,1.07925360331032
"BJ","FC-PT79","OSM",10,"ng/mL",94900.7265625,17.1477064513732,630.2722,19.7269415844174,5.42835490929296,6.3600339912317,2.35051595128742,0.665509459405209,0.766383338826079
"BJ","FC-PT79","OSM",10,"ng/mL",94977.40625,17.1629388257385,631.9533,36.2332756495578,6.1978233556417,3.33171714572046,4.32880354437334,0.761872024824732,0.402542348476206
"BJ","FC-PT79","OSM",10,"ng/mL",95002.96875,17.1680168011764,632.5144,40.9136518313313,5.51626115413707,3.24278712683629,4.89230984928903,0.678692550960495,0.392145579433433
"BJ","FC-PT79","OSM",10,"ng/mL",95039.890625,17.1753513097093,633.3254,23.3849005497108,2.82693101672118,2.70656295733218,2.79986908910356,0.348257087540377,0.327720422362542
"BJ","FC-PT79","OSM",10,"ng/mL",95052.6640625,17.1778887454797,633.6061,37.0706505872968,7.53037184687717,4.82373008055197,4.44042818074511,0.928097533514116,0.584333538779716
"BJ","FC-PT79","OSM",10,"ng/mL",95078.9375,17.1831079482296,634.1838,17.381321611166,3.96717930170547,7.15995767163336,2.08388252111262,0.489389694815715,0.868128601776184
"BJ","FC-PT79","OSM",0,"ng/mL",95230.1640625,17.2131490150241,637.5159,6.20643941693182,4.3848360924626,5.69878418613334,0.748012462738953,0.543753707781181,0.69459507145195
"BJ","FC-PT79","OSM",10,"ng/mL",95345.8984375,17.2361395798582,640.0738,22.9834918017646,4.09307505655844,9.71737361974274,2.78113040721637,0.509609606296144,1.18915212944286
"BJ","FC-PT79","OSM",10,"ng/mL",95379.9765625,17.2429091791431,640.8282,31.0827143386174,5.9204839450104,4.30446219634383,3.76561438636733,0.738000522581458,0.527374320746101
"BJ","FC-PT79","OSM",10,"ng/mL",95394.890625,17.2458718487981,641.1586,41.2584798027438,5.56634800024565,8.79437396421555,5.00096697390386,0.694214487995768,1.07802508641157
"BJ","FC-PT79","OSM",10,"ng/mL",95628.4765625,17.2922735565053,646.3478,30.9815940823475,5.56002481464262,5.45347848597934,3.78569243314218,0.699038107363022,0.673904482720655
"BJ","FC-PT79","OSM",10,"ng/mL",95635.578125,17.2936842776767,646.506,36.9978739374914,5.11459073388614,4.1586940357,4.52193817823414,0.643192977406685,0.514029442851906
"BJ","FC-PT79","OSM",10,"ng/mL",95637.7109375,17.2941079596127,646.5536,38.6995132142657,5.71592778003639,4.21775795984278,4.73026344669805,0.718867937373801,0.521368338646805
"BJ","FC-PT79","OSM",10,"ng/mL",95648.359375,17.2962232653957,646.7908,11.9399435291304,1.98487692423029,2.38860157095158,1.45996148583057,0.24972111381688,0.295369748757438
"BJ","FC-PT79","OSM",0,"ng/mL",95669.65625,17.3004538769616,647.2656,11.1338290457451,10.3728071983199,2.95297822052058,1.3623928869405,1.30598045883403,0.365427508049364
"BJ","FC-PT79","OSM",10,"ng/mL",95732.84375,17.3130060362959,648.6754,27.8612944785888,5.17172280124487,3.57686732113861,3.41667768621609,0.652560097454634,0.443597127634613
"BJ","FC-PT79","OSM",10,"ng/mL",95855.6796875,17.3374073223015,651.4221,24.9188439948272,7.01672265258415,4.66703995011785,3.06877941257315,0.889108261458819,0.581249340169725
"BJ","FC-PT79","OSM",10,"ng/mL",95926.6796875,17.3515114301193,653.0132,2.4847842132829,5.19097098000135,1.69118151282014,0.306750960929473,0.659368822076507,0.211140063983597
"BJ","FC-PT79","OSM",10,"ng/mL",95960.7578125,17.3582810294041,653.7778,30.7772753322974,5.21171379825657,4.64128570040677,3.80395728566008,0.662778748260115,0.580132155730228
"BJ","FC-PT79","OSM",10,"ng/mL",96040.2734375,17.3740767610689,655.5642,27.7903749046667,3.55873948889531,3.59900255121445,3.44417275645913,0.453804996357659,0.451082365906431
"BJ","FC-PT79","OSM",10,"ng/mL",96095.65625,17.3850785238682,656.8103,23.6416669240493,4.79004302039904,1.42537222204772,2.93557608966234,0.611979980387935,0.178989152533521
"BJ","FC-PT79","OSM",10,"ng/mL",96105.59375,17.3870526023392,657.0341,30.5014230194948,6.99228157037185,3.92784453065632,3.78863968423622,0.893644249737593,0.493401727408142
"BJ","FC-PT79","OSM",10,"ng/mL",96106.3046875,17.3871938296512,657.0501,22.2541088855646,4.66628276446058,5.40486187401746,2.76429244564975,0.596385924294239,0.678955876431465
"BJ","FC-PT79","OSM",10,"ng/mL",96188.6640625,17.4035544705639,658.9066,44.2456454936138,7.56559176456361,8.05349758423688,5.51149839893488,0.969671447449692,1.01453458523849
"BJ","FC-PT79","OSM",0,"ng/mL",96192.9296875,17.4044018344359,659.0029,4.68744289274618,3.47747108560441,1.6484225711509,0.583980852863149,0.445767806211957,0.20768940608023
"BJ","FC-PT79","OSM",10,"ng/mL",96216.359375,17.4090561279378,659.5317,10.2273229449127,4.39603688152738,2.43798892965415,1.27518424033793,0.563968501437803,0.30741557708164
"BJ","FC-PT79","OSM",10,"ng/mL",96231.9765625,17.4121584729562,659.8844,16.8115743092145,3.04671386946491,5.0994757857901,2.09725644961058,0.391072590226881,0.643356749637393
"BJ","FC-PT79","OSM",10,"ng/mL",96235.5234375,17.4128630575677,659.9645,38.7651349783424,9.27461200752424,6.67903541472561,4.83656655242805,1.19062273820946,0.842738408193704
"BJ","FC-PT79","OSM",0,"ng/mL",96303.6875,17.426403808086,661.5053,3.81538204173128,3.67001396321993,3.86747432449468,0.477140907102294,0.472235782368533,0.489124293312541
"BJ","FC-PT79","OSM",10,"ng/mL",96368.296875,17.4392384220443,662.968,32.8296032761353,6.47534444118008,4.2474793655762,4.11465563153904,0.835051552684357,0.53837180861902
"BJ","FC-PT79","OSM",10,"ng/mL",96435.0390625,17.4524967179385,664.4812,23.2736145186725,3.55349322121299,9.12336218172568,2.9236260805518,0.459299567121315,1.15903374401803
"BJ","FC-PT79","OSM",10,"ng/mL",96495.390625,17.4644855199733,665.8515,17.6317475411198,4.44368489864082,3.39467057649061,2.21946363541937,0.575543938982394,0.432148972480106
"BJ","FC-PT79","OSM",0,"ng/mL",96502.484375,17.4658946891963,666.0127,3.1129781185035,4.04647491278781,4.38596377194825,0.391952890176807,0.524224373847169,0.558477932094256
"BJ","FC-PT79","OSM",0,"ng/mL",96557.8671875,17.4768964519956,667.2721,9.18539457004654,6.39105461875219,7.30077050407575,1.15871352354674,0.829532378804415,0.931386909033694
"BJ","FC-PT79","OSM",10,"ng/mL",96575.6171875,17.4804224789501,667.676,27.1587793915565,7.3593822172196,4.14074419300178,3.42808281856617,0.955795477674902,0.528570149566354
"BJ","FC-PT79","OSM",0,"ng/mL",96659.3984375,17.4970655744868,669.5849,3.49497549380009,4.89572458877813,3.88816371332081,0.442410146323858,0.637647228404954,0.497747010375178
"BJ","FC-PT79","OSM",10,"ng/mL",96664.3671875,17.4980526137223,669.6983,28.3665599983574,5.40459544252226,4.60880024054146,3.59137835855944,0.704044700669519,0.590099908820163
"BJ","FC-PT79","OSM",0,"ng/mL",96753.1171875,17.5156827484945,671.7246,6.20007285068607,4.00685481878323,6.22376719203057,0.787341853707479,0.523543421565712,0.799287568756913
