"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.2232
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.465
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",2.3332
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2033
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.0809
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6828
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5414
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.278
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.387
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2931
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.0681
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",2.1929
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.718
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.0719
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5048
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",6.2329
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",6.3556
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.2509
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.915
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4851
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6865
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3974
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8202
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7789
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5677
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4669
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3988
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.0516
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3791
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8001
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.27
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.5398
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6862
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",2.0307
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7576
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8126
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4269
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.406
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3447
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.553
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6841
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.38
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3777
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6223
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2724
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2649
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1403
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6177
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7161
